Items=78
x=5,y=0
x=5,y=1
x=15,y=1
x=15,y=-1
x=25,y=-1
x=25,y=1
x=35,y=1
x=35,y=-1
x=45,y=-1
x=45,y=1
x=55,y=1
x=55,y=-1
x=65,y=-1
x=65,y=1
x=75,y=1
x=75,y=-1
x=85,y=-1
x=85,y=1
x=95,y=1
x=95,y=-1
x=105,y=-1
x=105,y=1
x=115,y=1
x=115,y=-1
x=125,y=-1
x=125,y=1
x=135,y=1
x=135,y=-1
x=145,y=-1
x=145,y=1
x=155,y=1
x=155,y=-1
x=165,y=-1
x=165,y=1
x=175,y=1
x=175,y=-1
x=185,y=-1
x=185,y=1
x=195,y=1
x=195,y=-1
x=205,y=-1
x=205,y=1
x=215,y=1
x=215,y=-1
x=225,y=-1
x=225,y=1
x=235,y=1
x=235,y=-1
x=245,y=-1
x=245,y=1
x=255,y=1
x=255,y=-1
x=265,y=-1
x=265,y=1
x=275,y=1
x=275,y=-1
x=285,y=-1
x=285,y=1
x=295,y=1
x=295,y=-1
x=305,y=-1
x=305,y=1
x=315,y=1
x=315,y=-1
x=325,y=-1
x=325,y=1
x=335,y=1
x=335,y=-1
x=345,y=-1
x=345,y=1
x=355,y=1
x=355,y=-1
x=365,y=-1
x=365,y=1
x=375,y=1
x=375,y=-1
x=385,y=-1
x=385,y=1
