Items=60
x=2,y=4.40
x=3,y=4.4
x=3,y=0
x=4,y=0
x=4,y=4.4
x=5.1,y=4.4
x=5.1,y=0
x=6.3,y=0
x=6.3,y=4.4
x=7.5,y=4.40
x=7.5,y=0
x=8.7,y=0
x=8.7,y=4.4
x=10,y=4.4
x=10,y=0
x=11.3,y=0
x=11.3,y=4.4
x=12.7,y=4.4
x=12.7,y=0
x=14.1,y=0
x=14.1,y=4.4
x=15.6,y=4.4
x=15.6,y=0
x=17.1,y=0
x=17.1,y=4.4
x=18.7,y=4.4
x=18.7,y=0
x=20.1,y=0
x=20.1,y=4.4
x=20.8,y=4.4
x=20.8,y=0
x=22.5,y=0
x=22.5,y=4.4
x=24.3,y=4.4
x=24.3,y=0
x=26.1,y=0
x=26.1,y=4.4
x=28,y=4.4
x=28,y=0
x=29.9,y=0
x=29.9,y=4.4
x=32,y=4.4
x=32,y=0
x=34.1,y=0
x=34.1,y=4.4
x=36.3,y=4.4
x=36.3,y=0
x=38.5,y=0
x=38.5,y=4.4
x=40.8,y=4.4
x=40.8,y=0
x=43.1,y=0
x=43.1,y=4.4
x=45.5,y=4.4
x=45.5,y=0
x=47.9,y=0
x=47.9,y=4.4
x=50.4,y=4.4
x=50.4,y=0
x=52.9,y=0
